City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sisimiut,66.9395,-53.6735,-22.22,92,100,1.48,GL,1738804537
1,coronel suarez,-37.4547,-61.9334,16.64,93,12,2.75,AR,1738804539
2,boa vista,2.8197,-60.6733,28.99,65,75,5.14,BR,1738804488
3,grytviken,-54.2811,-36.5092,1.78,95,100,3.82,GS,1738804541
4,port-aux-francais,-49.35,70.2167,7.42,94,100,9.41,TF,1738804542
5,tura,25.5198,90.2201,14.97,71,0,1.9,IN,1738804543
6,chinde,26.8212,87.7095,14.43,68,0,2.42,NP,1738804545
7,ribeira grande,38.5167,-28.7,17.65,95,29,7.6,PT,1738804546
8,waitangi,-43.9535,-176.5597,14.34,82,62,1.79,NZ,1738804547
9,avarua,-21.2078,-159.775,29.03,79,100,3.6,CK,1738804548
10,edinburgh of the seven seas,-37.0676,-12.3116,18.95,95,64,11.43,SH,1738804549
11,bredasdorp,-34.5322,20.0403,17.68,52,100,2.11,ZA,1738804550
12,hamilton,39.1834,-84.5333,1.07,93,100,2.06,US,1738804551
13,college,64.8569,-147.8028,-7.74,79,100,0.0,US,1738804552
14,sitka,57.0531,-135.33,3.94,56,0,0.0,US,1738804553
15,georgetown,5.4112,100.3354,27.75,77,20,2.68,MY,1738804554
16,whitehorse,60.7161,-135.0538,-17.61,79,90,2.68,CA,1738804556
17,batalha,-9.6778,-37.1247,24.8,77,100,3.27,BR,1738804557
18,recani,31.2846,-4.2688,8.57,51,6,4.31,MA,1738804558
19,adamstown,-25.066,-130.1015,25.42,74,7,5.67,PN,1738804559
20,port shepstone,-30.7414,30.455,23.13,89,100,5.35,ZA,1738804560
21,taroa,8.7058,171.2275,26.91,84,96,9.58,MH,1738804561
22,port elizabeth,-33.918,25.5701,19.62,97,100,0.89,ZA,1738804562
23,uturoa,-16.7333,-151.4333,27.98,73,47,5.2,PF,1738804563
24,villa gesell,-37.2639,-56.973,19.34,76,10,8.15,AR,1738804564
25,kyzyl-mazhalyk,51.1333,90.6,-23.86,89,23,0.07,RU,1738804566
26,nova sintra,14.8667,-24.7167,22.48,66,0,7.56,CV,1738804567
27,yonggwang-up,40.0183,127.4547,-10.44,43,0,1.46,KP,1738804569
28,arraial do cabo,-22.9661,-42.0278,24.18,86,0,11.13,BR,1738804570
29,carnarvon,-24.8667,113.6333,28.6,64,6,7.18,AU,1738804571
30,berdigestyakh,62.0989,126.6992,-41.05,100,62,0.92,RU,1738804572
31,west island,-12.1568,96.8225,28.99,84,100,6.17,CC,1738804573
32,isafjordur,66.0755,-23.124,1.91,82,100,24.89,IS,1738804574
33,lompoc,34.6391,-120.4579,15.38,88,100,2.57,US,1738804575
34,hermanus,-34.4187,19.2345,14.33,62,73,4.98,ZA,1738804576
35,mil'kovo,55.6078,37.7956,-0.21,69,100,1.64,RU,1738804577
36,sao vicente,-23.9631,-46.3919,25.57,87,100,1.55,BR,1738804578
37,timbuktu,16.7735,-3.0074,20.63,17,100,5.27,ML,1738804579
38,antsiranana,-12.2787,49.2917,24.24,89,100,2.43,MG,1738804581
39,boguchany,58.3814,97.4531,-17.12,99,99,1.25,RU,1738804582
40,bandon,51.7469,-8.7425,4.77,87,0,1.86,IE,1738804583
41,bubaque,11.2833,-15.8333,24.88,67,8,3.4,GW,1738804584
42,bethel,41.3712,-73.414,-3.02,55,0,0.45,US,1738804585
43,constantia,44.1833,28.65,-2.39,66,4,6.1,RO,1738804586
44,howrah,22.5892,88.3103,21.0,100,100,0.0,IN,1738804587
45,carolina beach,34.0352,-77.8936,11.72,80,100,0.45,US,1738804588
46,new norfolk,-42.7826,147.0587,24.84,38,93,1.15,AU,1738804591
47,new plymouth,-39.0667,174.0833,20.73,100,95,3.23,NZ,1738804424
48,ushuaia,-54.8,-68.3,6.66,94,99,1.12,AR,1738804403
49,albany,42.6001,-73.9662,-8.53,69,98,1.23,US,1738804594
50,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,70,40,1.54,ID,1738804595
51,hofors,60.5457,16.2867,-3.34,88,25,1.9,SE,1738804596
52,thompson,55.7435,-97.8558,-16.52,88,100,3.87,CA,1738804311
53,puerto natales,-51.7236,-72.4875,8.88,94,100,2.84,CL,1738804598
54,paraparaumu,-40.9167,175.0167,20.53,66,100,2.53,NZ,1738804599
55,hammerfest,70.6634,23.6821,3.25,75,20,8.75,NO,1738804600
56,tolanaro,-25.0319,46.9987,24.74,94,23,4.4,MG,1738804601
57,gurupi,-11.7292,-49.0686,24.41,72,100,1.35,BR,1738804603
58,umba,66.6871,34.3429,-3.92,91,100,7.97,RU,1738804604
59,roma,43.2128,-75.4557,-12.01,87,0,2.06,US,1738804605
60,weno,7.4515,151.8468,28.97,84,100,4.63,FM,1738804606
61,kuressaare,58.2481,22.5039,3.97,97,75,2.57,EE,1738804607
62,zaozersk,69.4005,32.4476,-4.33,94,100,11.53,RU,1738804608
63,hilo,19.7297,-155.09,24.49,79,100,4.63,US,1738804609
64,dalandzadgad,43.5708,104.425,-21.08,77,100,7.88,MN,1738804610
65,aubange,49.5833,5.8,2.26,97,99,2.94,BE,1738804611
66,mwinilunga,-11.7358,24.4293,17.68,98,100,1.53,ZM,1738804612
67,huaihua,27.5494,109.9592,4.91,95,100,2.77,CN,1738804613
68,stanley,54.868,-1.6985,-1.99,100,0,2.57,GB,1738804615
69,opuwo,-18.0607,13.84,20.4,86,100,0.97,NA,1738804616
70,bengkulu,-3.8004,102.2655,24.93,84,79,1.7,ID,1738804617
71,campo gallo,-26.5833,-62.85,33.39,28,51,3.41,AR,1738804618
72,bhuj,23.2667,69.6667,14.29,31,0,3.15,IN,1738804619
73,wailua homesteads,22.0669,-159.378,23.44,78,40,4.12,US,1738804620
74,quezon,7.7303,125.0989,21.67,92,100,1.69,PH,1738804621
75,talnakh,69.4865,88.3972,-24.03,100,100,3.39,RU,1738804622
76,kargat,55.1956,80.2811,-22.09,93,5,3.45,RU,1738804624
77,kodiak,57.79,-152.4072,2.73,70,0,3.09,US,1738804626
78,alaghsas,17.0187,8.0168,21.27,13,62,5.79,NE,1738804627
79,maiyama,12.0841,4.3677,23.03,9,1,4.81,NG,1738804628
80,punta arenas,-53.15,-70.9167,11.06,71,100,2.06,CL,1738804629
81,blackmans bay,-43.0167,147.3167,24.18,48,80,2.77,AU,1738804630
82,broken hill,-31.95,141.4333,34.35,31,0,6.07,AU,1738804631
83,ilulissat,69.2167,-51.1,-23.99,58,68,5.66,GL,1738804632
84,ambatofinandrahana,-20.55,46.8,18.41,93,100,1.33,MG,1738804633
85,burang,30.25,81.1667,-19.89,30,0,3.1,CN,1738804634
86,ugoofaaru,5.6667,73.0,27.35,69,99,4.62,MV,1738804635
87,urangan,-25.3,152.9,25.71,74,100,4.42,AU,1738804636
88,nemuro,43.3236,145.575,-0.7,76,95,5.85,JP,1738804638
89,faya-largeau,17.9257,19.1043,19.54,22,0,10.99,TD,1738804639
90,san antonio de pale,-1.4014,5.6325,27.7,78,100,3.33,GQ,1738804640
91,autun,46.95,4.3,0.55,97,6,1.28,FR,1738804641
92,egilsstadir,65.2653,-14.3948,8.95,66,75,11.83,IS,1738804642
93,maun,-19.9833,23.4167,22.89,48,66,2.41,BW,1738804643
94,niafunke,15.9322,-3.9906,21.25,17,100,4.97,ML,1738804644
95,utrik,11.2278,169.8474,26.34,81,11,8.9,MH,1738804645
96,gadzhiyevo,69.2551,33.3362,-4.95,92,100,10.69,RU,1738804646
97,suva,-18.1416,178.4415,30.71,70,40,5.14,FJ,1738804647
98,cidreira,-30.1811,-50.2056,25.03,94,1,2.93,BR,1738804648
99,pacific grove,36.6177,-121.9166,13.06,79,0,5.81,US,1738804649
100,saudarkrokur,65.7461,-19.6394,4.41,72,100,22.56,IS,1738804651
101,longyearbyen,78.2186,15.6401,0.91,60,20,11.83,SJ,1738804652
102,port lincoln,-34.7333,135.8667,22.16,61,1,2.32,AU,1738804653
103,prince rupert,54.3161,-130.3201,3.83,38,0,2.06,CA,1738804654
104,richards bay,-28.783,32.0377,24.5,89,99,5.68,ZA,1738804655
105,rio grande,-32.035,-52.0986,25.46,91,62,6.82,BR,1738804656
106,oliver,49.1831,-119.5524,-6.05,49,60,3.6,CA,1738804657
107,karakulino,56.012,53.7067,-13.36,93,100,1.47,RU,1738804658
108,puerto ayora,-0.7393,-90.3518,24.75,97,6,0.89,EC,1738804659
109,jamestown,42.097,-79.2353,-5.2,68,0,3.6,US,1738804532
110,olonkinbyen,70.9221,-8.7187,-0.67,97,100,18.54,SJ,1738804661
111,les cayes,18.2,-73.75,24.17,70,79,1.89,HT,1738804663
112,deqen,29.9618,90.7188,-6.16,25,0,3.2,CN,1738804664
113,papatowai,-46.5619,169.4708,14.43,58,100,3.14,NZ,1738804665
114,hithadhoo,-0.6,73.0833,27.39,68,90,5.29,MV,1738804666
115,bilibino,68.0546,166.4372,-39.76,94,8,0.75,RU,1738804667
116,vadso,70.0744,29.7487,-3.91,86,100,5.66,NO,1738804668
117,lihue,21.9789,-159.3672,23.77,69,40,4.12,US,1738804383
118,yellowknife,62.456,-114.3525,-6.99,86,75,7.2,CA,1738804670
119,saint-francois,46.4154,3.9054,3.69,100,100,0.0,FR,1738804671
120,invercargill,-46.4,168.35,15.01,71,100,2.68,NZ,1738804672
121,sandnessjoen,66.0217,12.6316,4.15,81,36,10.59,NO,1738804673
122,khanty-mansiysk,61.0042,69.0019,-8.94,92,40,1.0,RU,1738804676
123,hami,42.8,93.45,-8.51,48,0,2.13,CN,1738804677
124,alotau,-10.3069,150.4462,28.07,76,100,4.45,PG,1738804678
125,kastsyukowka,52.5387,30.9173,-2.0,86,100,4.0,BY,1738804679
126,afif,23.9065,42.9172,16.76,84,3,5.86,SA,1738804680
127,chibougamau,49.9168,-74.3659,-16.21,66,75,4.63,CA,1738804681
128,port alfred,-33.5906,26.891,18.99,100,100,0.89,ZA,1738804683
129,zouerate,22.7187,-12.4521,15.64,25,0,3.02,MR,1738804684
130,iqaluit,63.7506,-68.5145,-30.15,63,40,2.06,CA,1738804685
131,chimore,-16.9833,-65.1333,24.37,91,99,0.74,BO,1738804687
132,maintirano,-18.0667,44.0167,23.71,93,100,6.99,MG,1738804688
133,morant bay,17.8815,-76.4093,24.14,83,46,5.99,JM,1738804689
134,quincy,42.2529,-71.0023,-5.38,57,0,0.0,US,1738804690
135,klyuchi,52.2667,79.1667,-16.86,81,0,5.47,RU,1738804691
136,lincoln,40.8,-96.667,-2.05,94,100,2.57,US,1738804528
137,rongelap,11.1635,166.8941,26.49,83,12,8.32,MH,1738804693
138,pokrovsk,48.282,37.1758,-4.87,89,5,2.89,UA,1738804694
139,saldanha,-33.0117,17.9442,17.44,69,1,11.44,ZA,1738804695
140,kimbe,-5.5502,150.1429,28.29,77,100,1.73,PG,1738804696
141,coquimbo,-29.9533,-71.3436,17.85,88,0,2.57,CL,1738804697
142,holualoa,19.6228,-155.9522,24.91,68,20,4.12,US,1738804699
143,djambala,-2.5447,14.7533,22.11,83,100,1.51,CG,1738804700
144,tengrela,10.4869,-6.4097,21.94,17,10,2.49,CI,1738804701
145,qarqaraly,49.4058,75.4742,-21.37,100,100,2.49,KZ,1738804702
146,port augusta,-32.5,137.7667,31.57,34,0,0.81,AU,1738804703
147,kruisfontein,-34.0033,24.7314,18.75,71,100,3.02,ZA,1738804704
148,north shore,-36.8,174.75,24.18,68,43,1.61,NZ,1738804705
149,santa cruz,-17.8,-63.1667,26.7,78,20,2.57,BO,1738804706
150,anadyr,64.75,177.4833,-37.72,73,0,4.0,RU,1738804707
151,quixada,-4.9714,-39.0153,23.76,87,100,2.19,BR,1738804708
152,atafu village,-8.5421,-172.5159,28.84,72,11,7.72,TK,1738804709
153,namibe,-15.1961,12.1522,22.98,84,100,1.2,AO,1738804710
154,vilyuysk,63.7553,121.6247,-45.72,100,60,1.45,RU,1738804712
155,leua,48.2156,18.6071,-0.26,64,0,1.16,SK,1738804713
156,rojhan,28.6868,69.9534,11.99,15,0,3.92,PK,1738804714
157,toliara,-23.35,43.6667,26.44,84,81,3.63,MG,1738804715
158,kuching,1.55,110.3333,27.24,96,40,0.51,MY,1738804716
159,arkhangel'sk,64.5401,40.5433,-5.94,93,20,4.0,RU,1738804717
160,novyy urgal,51.0736,132.5642,-10.23,75,100,4.21,RU,1738804718
161,luderitz,-26.6481,15.1594,18.71,71,95,11.38,NA,1738804719
162,santa catalina,9.3337,122.8637,28.44,69,70,4.46,PH,1738804720
163,aljezur,37.3191,-8.8033,10.14,71,4,2.38,PT,1738804721
164,vorgashor,67.5833,63.95,-14.14,97,100,3.52,RU,1738804723
165,nanping,26.645,118.1736,10.54,50,100,0.51,CN,1738804724
166,cockburn town,21.4612,-71.1419,24.43,71,44,10.31,TC,1738804725
167,sabzevar,36.2126,57.6819,6.29,30,100,3.74,IR,1738804726
168,port mathurin,-19.6833,63.4167,27.14,77,0,3.24,MU,1738804727
169,iskateley,67.6803,53.1512,-7.92,89,100,8.15,RU,1738804728
170,tevriz,57.509,72.4042,-7.58,98,99,0.65,RU,1738804729
171,eureka,40.8021,-124.1637,8.54,91,100,0.89,US,1738804730
172,lagunas,-5.2269,-75.6753,23.51,96,33,1.46,PE,1738804731
173,nar'yan-mar,67.6713,53.087,-7.85,89,100,8.16,RU,1738804732
174,moree,-29.4667,149.85,31.49,34,0,1.58,AU,1738804733
175,margaret river,-33.95,115.0667,22.92,59,0,6.94,AU,1738804734
176,masterton,-40.9597,175.6575,24.75,33,100,1.54,NZ,1738804736
177,selfoss,63.9331,-20.9971,5.58,80,100,17.34,IS,1738804737
178,al jawf,29.5,38.75,9.68,69,1,8.17,SA,1738804738
179,qaqortoq,60.7167,-46.0333,-23.41,79,8,4.17,GL,1738804740
180,baglung,28.2719,83.5898,10.13,28,0,3.12,NP,1738804741
181,lebu,-37.6167,-73.65,15.63,90,29,5.72,CL,1738804742
182,katsuura,35.1333,140.3,5.36,47,36,8.05,JP,1738804632
183,long beach,33.767,-118.1892,17.97,85,40,4.12,US,1738804670
184,tiksi,71.6872,128.8694,-29.66,97,100,3.12,RU,1738804745
185,paravur tekkumbhagam,8.7833,76.7,22.27,81,5,2.49,IN,1738804746
186,green river,41.5286,-109.4662,3.88,71,10,2.68,US,1738804461
187,mananjary,-21.2167,48.3333,25.37,91,100,1.89,MG,1738804749
188,longboat key,27.4125,-82.659,21.18,66,0,1.54,US,1738804750
189,waat,51.1454,6.4958,4.38,96,100,0.51,DE,1738804751
190,enewetak,11.3474,162.3373,27.04,73,100,7.27,MH,1738804752
191,hadibu,12.65,54.0333,21.76,72,21,4.0,YE,1738804753
192,vytegra,61.0064,36.4481,-7.74,93,100,3.36,RU,1738804754
193,tejen,37.3834,60.5054,6.55,44,63,1.83,TM,1738804755
194,rada tilly,-45.9333,-67.5333,21.27,30,0,9.26,AR,1738804756
195,tazovsky,67.4667,78.7,-17.96,96,100,2.9,RU,1738804757
196,podgornoye,51.735,39.1496,-3.88,86,40,1.0,RU,1738804758
197,puerto san jose,13.9256,-90.8244,26.34,72,1,3.2,GT,1738804759
198,glace bay,46.1969,-59.957,-11.03,80,75,3.13,CA,1738804761
199,fortuna,40.5982,-124.1573,7.77,88,100,6.17,US,1738804762
200,trancas,-26.2314,-65.2803,29.05,38,93,1.29,AR,1738804763
201,awjilah,29.1081,21.2869,11.95,65,99,3.73,LY,1738804764
202,ljusdal,61.8288,16.0913,-8.08,94,4,1.73,SE,1738804765
203,agat village,13.3886,144.6585,30.2,78,20,7.2,GU,1738804766
204,si sa ket,14.8333,104.3333,22.58,61,0,2.61,TH,1738804767
205,lesogorsk,56.0458,99.5136,-16.33,98,100,1.16,RU,1738804768
206,ebon,4.582,168.6964,27.08,80,50,6.15,MH,1738804769
207,socorro,31.6546,-106.3033,24.56,10,0,5.14,US,1738804770
208,udachny,66.4167,112.4,-22.83,99,100,1.99,RU,1738804772
209,ust-nera,64.5667,143.2,-36.81,97,65,1.62,RU,1738804773
210,altay,47.8667,88.1167,-14.52,58,0,3.02,CN,1738804774
211,lospalos,-8.5186,127.0025,24.8,91,100,2.23,TL,1738804775
212,ribeira brava,32.65,-17.0667,17.35,73,28,2.27,PT,1738804776
213,barrouallie,13.2333,-61.2667,23.43,80,100,4.68,VC,1738804777
214,fada,7.25,4.0667,23.96,95,16,0.84,NG,1738804778
215,sumbe,-11.2061,13.8437,25.14,87,100,2.22,AO,1738804779
216,magadan,59.5667,150.8,-17.47,68,0,3.79,RU,1738804513
217,badger,64.8,-147.5333,-7.79,86,100,0.0,US,1738804781
218,yeppoon,-23.1333,150.7333,24.5,84,100,3.27,AU,1738804782
219,winnemucca,40.973,-117.7357,3.03,41,0,3.6,US,1738804783
220,ust'-kut,56.7938,105.7672,-33.24,97,100,1.41,RU,1738804785
221,mareeba,-17.0,145.4333,28.84,71,91,1.43,AU,1738804786
222,youhao,47.8667,128.8333,-18.64,91,100,2.72,CN,1738804787
223,kingston,17.997,-76.7936,26.53,57,20,0.51,JM,1738804789
224,amble,55.3333,-1.5833,3.08,87,0,4.63,GB,1738804790
225,saipan,15.1355,145.701,32.39,70,40,8.23,MP,1738804791
226,pangkalpinang,-2.1333,106.1333,25.14,90,100,3.03,ID,1738804792
227,thal,35.4791,72.2439,-9.57,87,88,2.59,PK,1738804793
228,hawaiian paradise park,19.5933,-154.9731,24.37,75,100,4.63,US,1738804794
229,mata-utu,-13.2816,-176.1745,28.85,65,88,3.12,WF,1738804795
230,nikolayevsk-on-amure,53.1406,140.73,-4.18,95,100,6.98,RU,1738804796
231,cartagena del chaira,1.3349,-74.8429,27.22,58,100,1.09,CO,1738804798
232,qulsary,46.9531,54.0198,-5.14,83,29,6.36,KZ,1738804799
233,kristiansund,63.1115,7.732,6.36,61,40,6.17,NO,1738804800
234,callao,-12.0667,-77.15,25.95,83,0,4.63,PE,1738804801
235,borca,47.1833,25.7667,-3.63,97,100,1.23,RO,1738804802
236,kailua-kona,19.6406,-155.9956,26.98,68,20,4.12,US,1738804803
237,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,47,20,4.0,RU,1738804804
238,tual,-5.6667,132.75,27.45,82,100,10.75,ID,1738804806
239,turpan,42.9333,89.1667,-4.67,61,0,1.04,CN,1738804807
240,afaahiti,-17.75,-149.2833,26.44,76,88,6.1,PF,1738804809
241,ancud,-41.8697,-73.8203,12.95,87,54,3.59,CL,1738804810
242,cholpon-ata,42.6494,77.0823,-2.95,54,49,2.53,KG,1738804811
243,kzyltu,53.6364,72.3414,-18.24,97,22,3.47,KZ,1738804812
244,uglegorsk,49.0833,142.0333,-0.12,71,44,5.7,RU,1738804814
245,bazarnyy syzgan,53.7512,46.7535,-9.96,97,100,2.39,RU,1738804815
246,cabo san lucas,22.8909,-109.9124,24.17,28,0,2.57,MX,1738804816
247,hauterive,46.0901,3.4459,-0.45,95,17,0.52,FR,1738804817
248,nuuk,64.1835,-51.7216,-12.66,61,75,2.57,GL,1738804797
249,maloye ganyushkino,46.6,49.2667,-3.06,73,21,4.69,KZ,1738804820
250,garcia,25.8167,-100.5833,24.37,67,0,3.13,MX,1738804821
251,fale old settlement,-9.3852,-171.2468,28.6,72,99,7.14,TK,1738804822
252,bajil,15.0584,43.2851,20.69,78,0,1.52,YE,1738804823
253,lorengau,-2.0226,147.2712,29.24,71,32,3.72,PG,1738804824
254,pirai do sul,-24.5261,-49.9486,17.62,99,100,1.93,BR,1738804825
255,mahajanga,-15.7167,46.3167,24.8,89,100,2.83,MG,1738804826
256,sao raimundo nonato,-9.0153,-42.6994,22.88,59,0,0.7,BR,1738804827
257,umluj,25.0213,37.2685,20.59,58,100,5.43,SA,1738804828
258,rio gallegos,-51.6226,-69.2181,15.03,47,0,6.69,AR,1738804829
259,olinda,-8.0089,-34.8553,22.85,100,100,3.09,BR,1738804830
260,san julian,21.0167,-102.1667,18.76,22,17,2.82,MX,1738804832
261,mejit,10.2753,170.8646,26.46,84,93,9.5,MH,1738804833
262,lautoka,-17.6167,177.4667,29.92,74,40,5.66,FJ,1738804834
263,phan rang-thap cham,11.5667,108.9833,22.29,67,0,3.14,VN,1738804835
264,happy valley-goose bay,53.3168,-60.3315,-18.83,60,0,5.14,CA,1738804836
265,narvik,68.4384,17.4272,1.88,99,100,5.85,NO,1738804837
266,colonia,50.9333,6.95,4.42,90,100,1.03,DE,1738804838
267,fomboni,-12.28,43.7425,27.7,81,100,10.01,KM,1738804839
268,greenville,35.6127,-77.3663,6.74,79,100,2.57,US,1738804840
269,nogliki,51.8333,143.1667,-1.47,96,100,12.99,RU,1738804841
270,flying fish cove,-10.4217,105.6791,26.82,94,100,5.66,CX,1738804842
271,lucapa,-8.4192,20.7447,18.98,85,100,0.92,AO,1738804843
272,tsiombe,-25.3,45.4833,24.24,95,4,2.12,MG,1738804846
273,yasuj,30.6682,51.588,4.75,33,75,0.0,IR,1738804847
274,angaur state,6.906,134.13,27.4,84,100,8.09,PW,1738804848
275,peterhead,57.5058,-1.7981,4.56,76,0,4.33,GB,1738804849
276,el obeid,13.1842,30.2167,18.85,20,31,6.64,SD,1738804850
277,cadale,2.7603,46.3222,24.13,88,41,8.61,SO,1738804851
278,tromso,69.6496,18.957,1.01,86,75,11.83,NO,1738804852
279,mockrehna,51.5076,12.8142,1.34,94,100,1.98,DE,1738804853
280,codrington,-38.2667,141.9667,24.93,49,0,4.17,AU,1738804855
281,polyarnyy,69.1989,33.4478,-5.19,91,93,10.51,RU,1738804856
282,madalena,41.2162,-8.3345,9.32,71,99,1.59,PT,1738804857
283,baturaja,-4.1333,104.1667,24.87,90,68,2.5,ID,1738804858
284,chegdomyn,51.1167,133.0167,-12.57,83,100,2.12,RU,1738804859
285,east london,-33.0153,27.9116,21.33,87,100,5.69,ZA,1738804860
286,santa luzia,-19.7697,-43.8514,24.5,56,0,2.57,BR,1738804861
287,nuwara eliya,6.9708,80.7829,8.13,76,42,1.31,LK,1738804862
288,doschatoye,55.3825,42.1072,-6.31,93,15,1.92,RU,1738804863
